ltv,disbursed_amount,asset_cost,PERFORM_CNS.SCORE,loan_default
68.43,422100,642970,836,0
72.38,485490,690800,825,0
57.46,519780,957220,300,0
88.79,516000,593550,530,0
74.72,723170,990420,554,0
89.05,599470,685000,425,0
89.44,619470,710000,751,0
75.5,499620,701950,536,0
79.06,602130,771610,763,0
84.33,546940,670010,825,0
87.83,541030,625040,0,0
65.49,718330,1137620,0,0
56.35,321840,583870,0,0
66.58,314840,495620,0,0
80.96,538030,679320,0,0
77.99,473490,628250,606,0
62.21,387060,654210,0,0
67.24,530820,803090,602,0
76.93,541610,740940,0,0
79.85,483490,626160,0,0
68.25,429320,652000,0,0
89.84,609470,690140,0,0
78.06,508030,672570,423,0
83.96,444000,559780,763,0
53.06,391390,753880,14,0
77.13,526970,723450,792,0
69.89,494030,723970,0,0
78.98,648820,842020,808,0
84.43,547590,663300,0,0
84.24,634630,771610,0,0
72.63,467490,666370,644,0
82.76,518030,640410,719,0
75.22,503030,678000,0,0
64.65,364390,587740,815,0
47.11,420470,945440,0,0
89.5,647690,733000,0,0
59.35,945050,1668010,0,0
65.18,275290,444900,0,0
74.73,465450,642320,722,0
79.42,523030,679900,300,0
75.14,455490,618810,0,0
63.21,417940,680220,300,0
71.22,403940,589750,0,0
52.91,483490,944960,0,0
44.03,270290,636000,836,0
84.66,473490,590600,0,0
86.47,630970,747680,615,0
57.88,344390,622000,0,0
89.63,538190,635970,726,0
54.54,338610,641680,0,0
79.76,489400,650710,0,0
78.98,483490,633090,717,0
82.11,493030,621150,738,0
72.6,599470,854000,0,0
75.32,463490,637300,656,0
79.84,488490,620000,0,0
87.54,537590,634000,763,0
79.47,356390,459290,300,0
53.58,349390,671860,300,0
69.71,785790,1147540,0,0
78.36,500030,650870,0,0
81.26,551130,700240,708,0
89.55,592590,670000,0,0
57.49,350390,626250,0,0
68.54,667690,1021290,0,0
62.26,370140,643150,0,0
77.18,453490,609000,836,0
88.82,543130,633850,769,0
74.46,668820,926670,0,0
46.11,794540,1756560,0,0
74.36,461000,645470,778,0
58.41,235740,428000,635,0
74.05,475490,655000,0,0
74.86,360390,495620,0,0
86.76,648820,772270,0,0
63.96,554120,915710,0,0
57.88,303340,561500,726,0
79.13,517030,682430,0,0
77.84,379390,501000,0,0
89.59,622870,718190,0,0
66.04,435490,684450,0,0
74.8,477640,677770,0,0
78.44,629470,828700,737,0
79.82,518030,664000,0,0
73.94,636440,882620,0,0
89.44,562190,648480,0,0
88.74,593470,680630,0,0
89.94,542130,624880,571,0
78.61,502030,655100,845,0
89.9,491780,568410,0,0
77.78,463690,630000,0,0
71.74,554590,797300,0,0
59.95,978990,1668010,763,0
74.87,492030,674510,300,0
89.85,609130,697800,16,0
34.09,285290,880000,0,0
78.8,561230,729660,0,0
78.26,569590,753880,597,0
73.22,455490,636410,0,0
74.7,701230,963810,825,0
74.8,538240,746110,14,0
89.79,542590,623710,0,0
74.1,374390,519590,0,0
88.87,488040,568230,0,0
81.39,541190,700300,738,0
89.74,555130,635190,0,0
84.89,530780,647890,0,0
73.97,505780,703000,0,0
76.1,428940,579500,707,0
89.04,591610,680000,0,0
77.81,451450,604050,631,0
76.66,438490,593540,300,0
81.43,609350,758000,783,0
74.63,736220,1005000,0,0
73.95,492030,688260,825,0
87.44,567850,663320,0,0
79.27,574590,738000,707,0
74.92,428940,594000,0,0
84.96,560130,682710,687,0
68.31,415140,644110,775,0
89.85,597470,680000,0,0
46.66,295330,664330,0,0
85.1,577590,693270,686,0
63.16,562590,910430,0,0
82.06,481450,609280,597,0
65.15,429190,685000,0,0
76.52,461650,640380,0,0
73.46,726230,1007310,449,0
66.89,390220,601000,616,0
52.91,483490,944960,0,0
33.04,202880,657140,0,0
73.97,612000,846250,0,0
78.65,543030,699310,519,0
75.76,471490,633550,738,0
89.71,599470,680000,656,0
81.66,537130,676000,0,0
74.89,467490,640920,576,0
62.27,403940,674500,0,0
89.58,576590,660880,726,0
72.57,423940,606320,0,0
68.88,388940,595260,763,0
62.29,528030,866860,0,0
79.4,650820,840000,0,0
86.78,528030,628030,0,0
81.12,525530,671840,0,0
78.1,531030,699080,300,0
89.64,983990,1110000,448,0
84.25,470490,593460,824,0
55.44,328840,613300,714,0
73.89,420440,609010,0,0
69.02,735230,1085250,0,0
79.48,500780,647960,300,0
85.46,609130,725500,0,0
54.15,433940,831000,300,0
72.67,415940,594440,0,0
61.2,726230,1209120,0,0
72.89,481450,685940,0,0
79.09,533030,695370,0,0
66.93,478290,739290,825,0
76.3,492530,681490,0,0
71.49,673690,965220,0,0
81.63,463690,600250,646,0
74.93,436780,600580,14,0
89.75,541190,635100,0,0
83.79,499030,615850,0,0
87.69,614470,712770,0,0
59.34,434290,775230,0,0
89.76,548590,625000,429,0
83.33,485780,606060,300,0
83.85,528030,650000,300,0
49.93,721230,1482210,743,0
69.09,404540,636830,15,0
62.97,384390,635190,738,0
86.42,571590,670010,695,0
80,497300,673600,825,0
78.26,730230,957070,0,0
65.6,443940,685980,0,0
82.62,473490,605150,836,0
75.79,482430,686130,0,0
84.87,560130,683400,810,0
79.57,518780,678660,0,0
73.94,614130,852080,0,0
90,561130,640000,758,0
89.36,550990,649050,0,0
88.51,562590,644000,651,0
79.86,454790,604800,737,0
85.45,508440,609000,0,0
52.62,483490,950280,0,0
89.43,557590,637340,0,0
74.1,562590,782730,680,0
84.91,529910,660730,0,0
58.51,366560,676860,621,0
77.22,506030,666890,0,0
75.4,440940,596810,0,0
52.83,334840,662460,16,0
73.27,423940,600500,0,0
79.99,572490,725000,0,0
77.05,453790,635940,785,0
79.95,718170,913050,651,0
70.28,548530,825300,0,0
74.06,458000,645410,691,0
67.22,413300,654590,0,0
56.59,304840,565450,0,0
84.76,545130,666610,615,0
61.33,379390,635920,721,0
64.18,423940,670000,0,0
52.94,379390,736690,0,0
82.77,524780,650020,16,0
74.67,348750,500880,0,0
89.27,549430,660880,800,0
83.5,520790,670670,0,0
88.85,550130,641550,18,0
69.68,446090,688880,681,0
89,614240,699000,0,0
88.15,542590,635270,0,0
64.37,423940,668000,679,0
51.99,945050,1904340,435,0
73.66,447490,624520,659,0
53.81,348390,669000,0,0
89.68,466490,533000,583,0
89.85,609130,697800,709,0
68.89,354690,537100,0,0
72.61,460630,657140,783,0
89.59,575130,664160,0,0
34.94,587830,1774370,0,0
69.41,429930,645430,0,0
63.98,609470,984660,0,0
68.53,597130,890110,0,0
79.06,580130,758920,0,0
89.9,530780,606240,0,0
69.08,488030,731030,836,0
69.31,493490,721410,0,0
64.29,612130,980000,0,0
88.41,567590,656000,0,0
89.73,552590,635270,738,0
44.62,280290,650000,753,0
76.78,499630,677290,348,0
82.03,447040,572950,568,0
74.63,478090,652000,617,0
73.14,463490,656290,0,0
89.59,575130,664160,0,0
78.39,444490,584230,832,0
86.79,561000,668250,772,0
89.87,507030,577480,0,0
87.67,599470,695790,0,0
74.58,701170,956000,0,0
82.61,493610,630650,0,0
87.52,512780,605560,0,0
73.74,423940,596680,0,0
54.44,244290,466600,0,0
79.82,658940,869500,0,0
89.7,506030,579700,681,0
87.01,550590,652810,17,0
78.36,641690,842280,719,0
67.13,498030,767220,0,0
86.79,561000,668250,0,0
61.31,413180,714370,0,0
87.67,581330,695790,0,0
83.05,550000,674300,0,0
73.14,681690,957060,0,0
68.54,562590,875350,702,0
82.48,552590,691100,0,0
85.78,542490,664520,0,0
75.26,461450,637800,778,0
89.11,586590,673300,0,0
89.61,671690,770000,591,0
62.9,381410,635930,0,0
46.11,317980,759110,0,0
39.53,238730,638820,0,0
41.49,288640,747100,0,0
82,526030,650000,0,0
69.93,861390,1286930,0,0
63.36,643690,1041740,774,0
88.38,638820,746810,582,0
62.82,354390,589020,0,0
79.52,528780,682860,0,0
76.92,643190,859980,0,0
86.16,569200,675700,657,0
76.43,409830,570510,15,0
55.76,314840,591800,0,0
63.18,395720,651780,16,0
47,400840,876370,16,0
87.91,500780,591500,574,0
79.47,509530,654330,0,0
89.87,553130,627540,0,0
79.3,496810,679740,0,0
52.69,473490,929920,0,0
49.66,434250,926390,0,0
74.76,410000,561790,707,0
60.37,416440,716370,0,0
72.34,437940,622100,15,0
88.21,506280,589520,0,0
55.63,328840,611190,0,0
82.11,493030,621150,714,0
88.05,615250,731440,783,0
77.81,542590,719700,300,0
73.26,557940,785350,0,0
82.29,555190,704790,0,0
58.6,535490,972650,0,0
80.37,498030,634580,743,0
89.44,619470,710000,743,0
63.05,542590,888140,682,0
77.32,528230,724300,0,0
76.93,472480,662980,300,0
79.05,494870,637950,0,0
52.54,379390,751760,738,0
73.48,487490,680470,0,0
78.14,557150,730000,0,0
89.73,576590,660870,0,0
89.89,634820,729790,738,0
75.19,478490,645000,0,0
58.21,334840,601290,0,0
57.41,372750,679280,0,0
71.72,510000,725000,0,0
86.79,646690,760440,17,0
52.32,340610,669000,0,0
83.31,528280,654160,0,0
50.14,334840,698000,0,0
87.17,566130,672270,0,0
88.8,587050,675640,300,0
83.49,513030,634770,0,0
56.41,323440,602750,585,0
59.49,362010,638810,616,0
78.21,547590,716050,0,0
87.14,463490,545120,631,0
77.09,478030,635660,0,0
66.58,458490,705890,649,0
73.5,666690,931940,0,0
54.6,324840,615400,0,0
77.49,428940,567850,0,0
87.23,565130,659210,0,0
67.83,415140,648660,730,0
58.31,364950,668870,15,0
79.09,522530,669500,749,0
88.35,580130,679080,825,0
84.12,510160,624120,758,0
68.34,876200,1317000,0,0
66.49,403940,631650,681,0
75.72,730230,989110,0,0
64.09,403940,655350,738,0
77.53,423220,580390,694,0
51.2,330340,664050,763,0
76.67,493030,665210,701,0
73.23,515030,737390,726,0
89.75,666000,764370,16,0
42.26,309840,769000,0,0
73.63,483490,679050,714,0
87.32,527030,618400,0,0
84.17,597130,724740,616,0
84.16,579930,724820,0,0
65.38,668690,1040030,587,0
69.02,443450,666510,543,0
71.06,449010,681490,0,0
73.41,532030,749220,825,0
73.61,606670,869500,0,0
88.21,514880,617830,0,0
74.87,552590,761320,0,0
78.09,364390,480200,589,0
86.24,580590,684160,0,0
86.44,635130,746200,0,0
84.39,524630,640600,737,0
80.12,533030,674000,0,0
85.54,441090,561160,654,0
84.25,517030,629100,0,0
83.09,575130,710050,0,0
80.91,579930,753880,775,0
67.77,433940,664000,635,0
79.53,481830,635000,733,0
41.91,388940,966420,738,0
64.18,243800,422000,664,0
43.93,234570,564580,753,0
67.41,432940,667530,517,0
79.97,621800,840270,626,0
61.27,384390,644670,785,0
80.63,552590,706900,0,0
85.27,513780,613350,0,0
75.5,513030,701960,694,0
83.85,554090,679810,300,0
73.26,701230,982770,0,0
68.09,653820,984000,0,0
89.74,555130,635190,0,0
88.97,575130,668800,0,0
70.27,625620,939200,622,0
85.04,540130,658520,0,0
80.96,510780,654670,681,0
37.14,141190,417300,0,0
71.25,523030,743810,16,0
67.33,485030,745570,733,0
84.19,536780,653300,0,0
59,357500,652500,0,0
76.63,473490,639470,778,0
79.92,469450,610580,662,0
69.53,352990,546520,738,0
55.47,513030,955410,0,0
83.59,552590,681910,300,0
74.38,619470,846950,825,0
86.78,487430,599230,0,0
87.01,620470,735540,0,0
62,593180,1010060,0,0
75.14,463490,638810,0,0
79.99,570030,725000,0,0
73.97,617130,851740,0,0
40.92,265290,684200,749,0
68.47,581190,896740,723,0
67.9,295290,441820,653,0
76.82,762510,1021870,774,0
79.77,463690,614250,0,0
83.09,562590,698000,825,0
85.67,622130,747030,825,0
